time,ax,ay,az,aT
2.3010,-0.0656,-0.0571,-0.2921,0.305
2.3210,-0.0302,-0.0485,-0.0154,0.059
2.3400,-0.0871,0.0314,-0.1477,0.174
2.3580,-0.0056,0.0097,-0.2019,0.202
2.3760,-0.0643,0.0332,-0.1514,0.168
2.3960,-0.0427,-0.0855,-0.2308,0.250
2.4160,-0.0113,-0.0448,-0.0888,0.100
2.4340,-0.0357,-0.0381,-0.1538,0.162
2.4530,-0.0001,-0.0284,-0.2332,0.235
2.4720,-0.0535,0.0405,-0.1754,0.188
2.4900,-0.1032,0.0472,-0.0371,0.119
2.5090,0.0100,-0.0375,-0.2632,0.266
2.5290,-0.0479,-0.0874,-0.2356,0.256
2.5470,0.0759,0.0172,-0.1622,0.180
2.5660,-0.1210,0.0362,-0.1116,0.169
2.5850,-0.0469,-0.0033,-0.2103,0.215
2.6040,0.0199,0.0025,-0.0792,0.082
2.6230,-0.0698,-0.0477,-0.2716,0.284
2.6420,-0.0487,-0.0061,-0.1862,0.193
2.6610,-0.0282,-0.0120,-0.1513,0.154
2.6800,-0.0041,-0.0177,-0.1838,0.185
2.7010,-0.0670,-0.0082,-0.1020,0.122
2.7190,-0.0207,0.0371,-0.1549,0.161
2.7380,-0.0446,-0.0155,-0.2764,0.280
2.7590,-0.0002,-0.0598,-0.0779,0.098
2.7750,-0.0463,-0.0359,-0.1610,0.171
2.7940,-0.1004,0.0548,-0.2692,0.293
2.8130,-0.0417,-0.0368,-0.1477,0.158
2.8330,0.0445,-0.0071,-0.1224,0.130
2.8520,-0.0765,0.0130,-0.2271,0.240
2.8710,-0.0163,-0.0111,-0.2355,0.236
2.8950,-0.0124,-0.0336,-0.0034,0.036
2.9080,-0.0439,-0.0422,-0.1802,0.190
2.9270,-0.0923,0.0254,-0.3414,0.355
2.9470,0.0190,0.0320,-0.0828,0.091
2.9660,-0.0261,-0.0253,-0.1501,0.154
2.9850,-0.0609,-0.0266,-0.1646,0.177
3.0040,-0.0525,-0.0467,-0.1177,0.137
3.0240,-0.0228,-0.0108,-0.1694,0.171
3.0410,-0.0574,0.0082,-0.1862,0.195
3.0600,-0.0422,-0.0325,-0.0744,0.091
3.0800,-0.0586,-0.0075,-0.2319,0.239
3.0980,-0.0882,-0.0064,-0.2392,0.255
